f,Antisemitinnen,https://de.wiktionary.org/w/index.php?title=Antisemitin
m,Zuchthäusler,https://de.wiktionary.org/w/index.php?title=Zuchthäuslerin; https://de.wiktionary.org/w/index.php?title=Zuchthäusler
m,Wohnungsverkäufer,https://de.wiktionary.org/w/index.php?title=Wohnungsverkäuferin; https://de.wiktionary.org/w/index.php?title=Wohnungsverkäufer
m,Jahrgänger,https://de.wiktionary.org/w/index.php?title=Jahrgänger
f,Nekrophile,https://de.wiktionary.org/w/index.php?title=Nekrophiler
m,Großsöhne,https://de.wiktionary.org/w/index.php?title=Großsohn
f,Trappistin,https://de.wiktionary.org/w/index.php?title=Trappistin
f,Kreiswahlleiterinnen,https://de.wiktionary.org/w/index.php?title=Kreiswahlleiterin
f,Sachbearbeiterinnen,https://de.wiktionary.org/w/index.php?title=Sachbearbeiterin
f,Parlamentarierinnen,https://de.wiktionary.org/w/index.php?title=Parlamentarierin
f,Notärztin,https://de.wiktionary.org/w/index.php?title=Notärztin; https://de.wiktionary.org/w/index.php?title=Notarzt
m,Werkstudent,https://de.wiktionary.org/w/index.php?title=Werkstudentin; https://de.wiktionary.org/w/index.php?title=Werkstudent
f,Regierungschefin,https://de.wiktionary.org/w/index.php?title=Regierungschefin; https://de.wiktionary.org/w/index.php?title=Regierungschef
f,Agrarwissenschaftlerinnen,https://de.wiktionary.org/w/index.php?title=Agrarwissenschaftlerin
f,Somalierinnen,https://de.wiktionary.org/w/index.php?title=Somalierin
m,Knastbruder,https://de.wiktionary.org/w/index.php?title=Knastschwester; https://de.wiktionary.org/w/index.php?title=Knastbruder
m,Literat,https://de.wiktionary.org/w/index.php?title=Literatin; https://de.wiktionary.org/w/index.php?title=Literat
m,Streikbrecher,https://de.wiktionary.org/w/index.php?title=Streikbrecherin; https://de.wiktionary.org/w/index.php?title=Streikbrecher
f,Lehrerin,https://de.wiktionary.org/w/index.php?title=Lehrer; https://de.wiktionary.org/w/index.php?title=Lehrerin
f,Adressatinnen,https://de.wiktionary.org/w/index.php?title=Adressatin
f,Schauspielerinnen,https://de.wiktionary.org/w/index.php?title=Schauspielerin
f,Fahrraddiebinnen,https://de.wiktionary.org/w/index.php?title=Fahrraddiebin
m,Entwicklungsminister,https://de.wiktionary.org/w/index.php?title=Entwicklungsministerin; https://de.wiktionary.org/w/index.php?title=Entwicklungsminister
m,Sherpas,https://de.wiktionary.org/w/index.php?title=Sherpa
m,Killer,https://de.wiktionary.org/w/index.php?title=Killer; https://de.wiktionary.org/w/index.php?title=Killerin
f,Sterndeuterinnen,https://de.wiktionary.org/w/index.php?title=Sterndeuterin
m,Gleitschirmpilot,https://de.wiktionary.org/w/index.php?title=Gleitschirmpilot; https://de.wiktionary.org/w/index.php?title=Gleitschirmpilotin
f,Rockerin,https://de.wiktionary.org/w/index.php?title=Rockerin; https://de.wiktionary.org/w/index.php?title=Rocker
m,Schneidbrenner,https://de.wiktionary.org/w/index.php?title=Schneidbrenner; https://de.wiktionary.org/w/index.php?title=Schneidbrennerin
f,Sprachplanerin,https://de.wiktionary.org/w/index.php?title=Sprachplaner
m,Deutschböhme,https://de.wiktionary.org/w/index.php?title=Deutschböhme
m,Kanonisten,https://de.wiktionary.org/w/index.php?title=Kanonist
f,Prußin,https://de.wiktionary.org/w/index.php?title=Pruße; https://de.wiktionary.org/w/index.php?title=Prußin
f,Plantagenbesitzerin,https://de.wiktionary.org/w/index.php?title=Plantagenbesitzerin; https://de.wiktionary.org/w/index.php?title=Plantagenbesitzer
f,Tierfreundin,https://de.wiktionary.org/w/index.php?title=Tierfreundin; https://de.wiktionary.org/w/index.php?title=Tierfreund
f,Gleichgesinnte,https://de.wiktionary.org/w/index.php?title=Gleichgesinnter; https://de.wiktionary.org/w/index.php?title=Gleichgesinnte
m,Wertpapierhändler,https://de.wiktionary.org/w/index.php?title=Wertpapierhändler; https://de.wiktionary.org/w/index.php?title=Wertpapierhändlerin
m,Südländer,https://de.wiktionary.org/w/index.php?title=Südländer; https://de.wiktionary.org/w/index.php?title=Südländerin
f,Gemüseverkäuferin,https://de.wiktionary.org/w/index.php?title=Gemüseverkäuferin; https://de.wiktionary.org/w/index.php?title=Gemüseverkäufer
f,Dichterin,https://de.wiktionary.org/w/index.php?title=Dichter; https://de.wiktionary.org/w/index.php?title=Dichterin
f,Kellnerinnen,https://de.wiktionary.org/w/index.php?title=Kellnerin
f,Ökologinnen,https://de.wiktionary.org/w/index.php?title=Ökologin
m,Damaszener,https://de.wiktionary.org/w/index.php?title=Damaszener; https://de.wiktionary.org/w/index.php?title=Damaszenerin
f,Exekutorin,https://de.wiktionary.org/w/index.php?title=Exekutorin; https://de.wiktionary.org/w/index.php?title=Exekutor
f,Politologieprofessorin,https://de.wiktionary.org/w/index.php?title=Politologieprofessorin; https://de.wiktionary.org/w/index.php?title=Politologieprofessor
f,Lausitzerinnen,https://de.wiktionary.org/w/index.php?title=Lausitzerin
f,Schnorrerin,https://de.wiktionary.org/w/index.php?title=Schnorrer; https://de.wiktionary.org/w/index.php?title=Schnorrerin
f,Großstädterin,https://de.wiktionary.org/w/index.php?title=Großstädterin; https://de.wiktionary.org/w/index.php?title=Großstädter
m,Toren,https://de.wiktionary.org/w/index.php?title=Tor
m,Experten,https://de.wiktionary.org/w/index.php?title=Experte
f,Unterzeichnerin,https://de.wiktionary.org/w/index.php?title=Unterzeichner; https://de.wiktionary.org/w/index.php?title=Unterzeichnerin
m,Zürcher,https://de.wiktionary.org/w/index.php?title=Zürcher; https://de.wiktionary.org/w/index.php?title=Zürcherin
m,Sprachlehrer,https://de.wiktionary.org/w/index.php?title=Sprachlehrerin; https://de.wiktionary.org/w/index.php?title=Sprachlehrer
m,Veganer,https://de.wiktionary.org/w/index.php?title=Veganer; https://de.wiktionary.org/w/index.php?title=Veganerin
f,Duisburgerin,https://de.wiktionary.org/w/index.php?title=Duisburger; https://de.wiktionary.org/w/index.php?title=Duisburgerin
m,Bahnchefs,https://de.wiktionary.org/w/index.php?title=Bahnchef
m,Gallier,https://de.wiktionary.org/w/index.php?title=Gallier; https://de.wiktionary.org/w/index.php?title=Gallierin
f,Leidensgenossin,https://de.wiktionary.org/w/index.php?title=Leidensgenossin; https://de.wiktionary.org/w/index.php?title=Leidensgenosse
m,Reisebuchautoren,https://de.wiktionary.org/w/index.php?title=Reisebuchautor
f,Lokführerin,https://de.wiktionary.org/w/index.php?title=Lokführerin; https://de.wiktionary.org/w/index.php?title=Lokführer
m,Bundesgenossen,https://de.wiktionary.org/w/index.php?title=Bundesgenosse
m,Premierminister,https://de.wiktionary.org/w/index.php?title=Premierministerin; https://de.wiktionary.org/w/index.php?title=Premierminister
m,Sozien,https://de.wiktionary.org/w/index.php?title=Sozius
f,Russlanddeutsche,https://de.wiktionary.org/w/index.php?title=Russlanddeutsche
f,Privatdozentinnen,https://de.wiktionary.org/w/index.php?title=Privatdozentin
m,Theaterautoren,https://de.wiktionary.org/w/index.php?title=Theaterautor
f,Zwangsarbeiterin,https://de.wiktionary.org/w/index.php?title=Zwangsarbeiterin; https://de.wiktionary.org/w/index.php?title=Zwangsarbeiter
f,Netzwerkadministratorin,https://de.wiktionary.org/w/index.php?title=Netzwerkadministratorin; https://de.wiktionary.org/w/index.php?title=Netzwerkadministrator
m,Polizeibeamter,https://de.wiktionary.org/w/index.php?title=Polizeibeamtin; https://de.wiktionary.org/w/index.php?title=Polizeibeamter
m,Freier,https://de.wiktionary.org/w/index.php?title=Freier
f,Chantinnen,https://de.wiktionary.org/w/index.php?title=Chantin
m,Homöopathen,https://de.wiktionary.org/w/index.php?title=Homöopath
m,Achtzigjähriger,https://de.wiktionary.org/w/index.php?title=Achtzigjähriger
m,Vorkäufer,https://de.wiktionary.org/w/index.php?title=Vorkäuferin; https://de.wiktionary.org/w/index.php?title=Vorkäufer
m,Rechercheur,https://de.wiktionary.org/w/index.php?title=Rechercheurin; https://de.wiktionary.org/w/index.php?title=Rechercheur
f,China,https://de.wiktionary.org/w/index.php?title=China; https://de.wiktionary.org/w/index.php?title=Chino
f,Komtess,https://de.wiktionary.org/w/index.php?title=Comte
m,Akkadist,https://de.wiktionary.org/w/index.php?title=Akkadist
f,Parksünderinnen,https://de.wiktionary.org/w/index.php?title=Parksünderin
f,Instrumentenmacherinnen,https://de.wiktionary.org/w/index.php?title=Instrumentenmacherin
f,Ovo-Lacto-Vegetarierin,https://de.wiktionary.org/w/index.php?title=Ovo-Lacto-Vegetarierin; https://de.wiktionary.org/w/index.php?title=Ovo-Lacto-Vegetarier
f,Afrikakennerin,https://de.wiktionary.org/w/index.php?title=Afrikakenner
f,Porträtmalerin,https://de.wiktionary.org/w/index.php?title=Porträtmalerin; https://de.wiktionary.org/w/index.php?title=Porträtmaler
f,Pferdenärrinnen,https://de.wiktionary.org/w/index.php?title=Pferdenärrin
f,Gratulantin,https://de.wiktionary.org/w/index.php?title=Gratulantin; https://de.wiktionary.org/w/index.php?title=Gratulant
m,Nephrologen,https://de.wiktionary.org/w/index.php?title=Nephrologe
f,Bundesfreiwillige,https://de.wiktionary.org/w/index.php?title=Bundesfreiwilliger; https://de.wiktionary.org/w/index.php?title=Bundesfreiwillige
f,Komtesse,https://de.wiktionary.org/w/index.php?title=Comte
f,Hotelangestellte,https://de.wiktionary.org/w/index.php?title=Hotelangestellter; https://de.wiktionary.org/w/index.php?title=Hotelangestellte
f,Mährerinnen,https://de.wiktionary.org/w/index.php?title=Mährerin
m,Sechsjähriger,https://de.wiktionary.org/w/index.php?title=Sechsjähriger; https://de.wiktionary.org/w/index.php?title=Sechsjährige
f,Giftmörderin,https://de.wiktionary.org/w/index.php?title=Giftmörder; https://de.wiktionary.org/w/index.php?title=Giftmörderin
f,Aserbaidschanerinnen,https://de.wiktionary.org/w/index.php?title=Aserbaidschanerin
f,Gymnasialprofessorinnen,https://de.wiktionary.org/w/index.php?title=Gymnasialprofessorin
f,Depositarin,https://de.wiktionary.org/w/index.php?title=Depositar; https://de.wiktionary.org/w/index.php?title=Depositarin
m,Altbundespräsidenten,https://de.wiktionary.org/w/index.php?title=Altbundespräsident
m,Bajuwaren,https://de.wiktionary.org/w/index.php?title=Bajuware
f,Südamerikanerinnen,https://de.wiktionary.org/w/index.php?title=Südamerikanerin
f,Pastorin,https://de.wiktionary.org/w/index.php?title=Pastorin; https://de.wiktionary.org/w/index.php?title=Pastor
m,Kaffeetrinker,https://de.wiktionary.org/w/index.php?title=Kaffeetrinkerin; https://de.wiktionary.org/w/index.php?title=Kaffeetrinker
f,Mystikerin,https://de.wiktionary.org/w/index.php?title=Mystiker; https://de.wiktionary.org/w/index.php?title=Mystikerin
m,Vagotoniker,https://de.wiktionary.org/w/index.php?title=Vagotoniker; https://de.wiktionary.org/w/index.php?title=Vagotonikerin
m,Organist,https://de.wiktionary.org/w/index.php?title=Organistin
m,Bauarbeiter,https://de.wiktionary.org/w/index.php?title=Bauarbeiter; https://de.wiktionary.org/w/index.php?title=Bauarbeiterin
f,Belgierin,https://de.wiktionary.org/w/index.php?title=Belgierin
m,Spiritisten,https://de.wiktionary.org/w/index.php?title=Spiritist
f,Flötenspielerin,https://de.wiktionary.org/w/index.php?title=Flötenspielerin; https://de.wiktionary.org/w/index.php?title=Flötenspieler
f,Albanerin,https://de.wiktionary.org/w/index.php?title=Albanerin; https://de.wiktionary.org/w/index.php?title=Albaner
f,Miesmacherin,https://de.wiktionary.org/w/index.php?title=Miesmacher; https://de.wiktionary.org/w/index.php?title=Miesmacherin
f,Spielfreundinnen,https://de.wiktionary.org/w/index.php?title=Spielfreundin
f,Eweninnen,https://de.wiktionary.org/w/index.php?title=Ewenin
f,Todfeindin,https://de.wiktionary.org/w/index.php?title=Todfeindin; https://de.wiktionary.org/w/index.php?title=Todfeind
f,Märchenerzählerin,https://de.wiktionary.org/w/index.php?title=Märchenerzähler; https://de.wiktionary.org/w/index.php?title=Märchenerzählerin
f,Covergirl,https://de.wiktionary.org/w/index.php?title=Coverboy; https://de.wiktionary.org/w/index.php?title=Covergirl
f,Ruderinnen,https://de.wiktionary.org/w/index.php?title=Ruderin
f,Designerinnen,https://de.wiktionary.org/w/index.php?title=Designerin
f,Ketin,https://de.wiktionary.org/w/index.php?title=Ketin; https://de.wiktionary.org/w/index.php?title=Kete
m,Feldherr,https://de.wiktionary.org/w/index.php?title=Feldherr; https://de.wiktionary.org/w/index.php?title=Feldherrin
f,Zarewnas,https://de.wiktionary.org/w/index.php?title=Zarewna
f,Burjatinnen,https://de.wiktionary.org/w/index.php?title=Burjatin
m,Arbeitsloser,https://de.wiktionary.org/w/index.php?title=Arbeitsloser; https://de.wiktionary.org/w/index.php?title=Arbeitslose
f,Eierfrau,https://de.wiktionary.org/w/index.php?title=Eierfrau; https://de.wiktionary.org/w/index.php?title=Eiermann
f,Straftäterinnen,https://de.wiktionary.org/w/index.php?title=Straftäterin
m,Sultane,https://de.wiktionary.org/w/index.php?title=Sultan
f,Anchorwomen,https://de.wiktionary.org/w/index.php?title=Anchorwoman
m,Zwanziger,https://de.wiktionary.org/w/index.php?title=Zwanziger; https://de.wiktionary.org/w/index.php?title=Zwanzigerin
f,Spätzünderinnen,https://de.wiktionary.org/w/index.php?title=Spätzünderin
m,Gatte,https://de.wiktionary.org/w/index.php?title=Gatte; https://de.wiktionary.org/w/index.php?title=Gattin
f,Einzeltäterin,https://de.wiktionary.org/w/index.php?title=Einzeltäter; https://de.wiktionary.org/w/index.php?title=Einzeltäterin
m,Facharbeiter,https://de.wiktionary.org/w/index.php?title=Facharbeiterin; https://de.wiktionary.org/w/index.php?title=Facharbeiter
f,Insulanerin,https://de.wiktionary.org/w/index.php?title=Insulaner; https://de.wiktionary.org/w/index.php?title=Insulanerin
f,Nehmerinnen,https://de.wiktionary.org/w/index.php?title=Nehmerin
m,Jukagiren,https://de.wiktionary.org/w/index.php?title=Jukagire
